id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
pbo-black-vertical-shirt-s-1_14672,"BERSERKERS SHIRT","Talla: S",https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscarprueba.jpg,https://powerbuildingoficial.com/producto/berserkers-shirt-copia/?attribute_pa_talla=s,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,pbo-berserkers_14664,https://powerbuildingoficial.com/carrito/?add-to-cart=14664&variation_id=14672&attribute_pa_talla=s,"https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscar2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscar3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/XL/L/S:S"
pbo-black-vertical-shirt-m-1_14670,"BERSERKERS SHIRT","Talla: M",https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscarprueba.jpg,https://powerbuildingoficial.com/producto/berserkers-shirt-copia/?attribute_pa_talla=m,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,pbo-berserkers_14664,https://powerbuildingoficial.com/carrito/?add-to-cart=14664&variation_id=14670&attribute_pa_talla=m,"https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscar2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscar3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,default,"talla:M/XL/L/S:M"
pbo-black-vertical-shirt-L-1_14668,"BERSERKERS SHIRT","Talla: L",https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscarprueba.jpg,https://powerbuildingoficial.com/producto/berserkers-shirt-copia/?attribute_pa_talla=l,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,pbo-berserkers_14664,https://powerbuildingoficial.com/carrito/?add-to-cart=14664&variation_id=14668&attribute_pa_talla=l,"https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscar2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscar3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/XL/L/S:L"
pbo-black-vertical-shirt-XL-1_14666,"BERSERKERS SHIRT","Talla: XL",https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscarprueba.jpg,https://powerbuildingoficial.com/producto/berserkers-shirt-copia/?attribute_pa_talla=xl,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,out of stock,pbo-berserkers_14664,https://powerbuildingoficial.com/carrito/?add-to-cart=14664&variation_id=14666&attribute_pa_talla=xl,"https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscar2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2020/09/oscar3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/XL/L/S:XL"
powershirt-red-m-1_6531,"BODYBUILDING SHIRT","Talla: M",https://powerbuildingoficial.com/wp-content/uploads/2020/06/FRONTALCAMIb.jpg,https://powerbuildingoficial.com/producto/bodybuilding-shirt/?attribute_pa_talla=m,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,wc_post_id_6529,https://powerbuildingoficial.com/carrito/?add-to-cart=6529&variation_id=6531&attribute_pa_talla=m,"https://powerbuildingoficial.com/wp-content/uploads/2020/06/FRONTALCAMI2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2020/06/BACKCAMI3-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,default,"talla:M/S/L/XL:M"
powershirt-red-xl-1_6533,"BODYBUILDING SHIRT","Talla: XL",https://powerbuildingoficial.com/wp-content/uploads/2020/06/FRONTALCAMIb.jpg,https://powerbuildingoficial.com/producto/bodybuilding-shirt/?attribute_pa_talla=xl,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,wc_post_id_6529,https://powerbuildingoficial.com/carrito/?add-to-cart=6529&variation_id=6533&attribute_pa_talla=xl,"https://powerbuildingoficial.com/wp-content/uploads/2020/06/FRONTALCAMI2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2020/06/BACKCAMI3-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/S/L/XL:XL"
powershirt-red-l-1_6532,"BODYBUILDING SHIRT","Talla: L",https://powerbuildingoficial.com/wp-content/uploads/2020/06/FRONTALCAMIb.jpg,https://powerbuildingoficial.com/producto/bodybuilding-shirt/?attribute_pa_talla=l,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,wc_post_id_6529,https://powerbuildingoficial.com/carrito/?add-to-cart=6529&variation_id=6532&attribute_pa_talla=l,"https://powerbuildingoficial.com/wp-content/uploads/2020/06/FRONTALCAMI2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2020/06/BACKCAMI3-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/S/L/XL:L"
powershirt-red-s-1_6530,"BODYBUILDING SHIRT","Talla: S",https://powerbuildingoficial.com/wp-content/uploads/2020/06/FRONTALCAMIb.jpg,https://powerbuildingoficial.com/producto/bodybuilding-shirt/?attribute_pa_talla=s,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,wc_post_id_6529,https://powerbuildingoficial.com/carrito/?add-to-cart=6529&variation_id=6530&attribute_pa_talla=s,"https://powerbuildingoficial.com/wp-content/uploads/2020/06/FRONTALCAMI2.jpg,https://powerbuildingoficial.com/wp-content/uploads/2020/06/BACKCAMI3-1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/S/L/XL:S"
wc_post_id_5183,"STRAPS PBO","Disponibles los STRAPS PBO para para que puedas seguir mejorando tu rendimiento sin que el agarre sea un factor limitante, ha llegado el momento de meter kg a la barra. Nuestras agarraderas están fabricadas con 100% algodón, lo que ayuda a ofrecer una mayor resistencia y durabilidad: 
- Algodón de alta resistencia. 
 
- Costuras de calidad industrial para una mayor durabilidad. 
 
- Almohadilla interna para proteger la muñeca en sesiones con mucha intensidad y volumen de entrenamiento. 
 
- Diseño para mayor compresión y expulsión de sudor.",https://powerbuildingoficial.com/wp-content/uploads/2020/04/straps-2.jpg,https://powerbuildingoficial.com/producto/straps-pbo/,"Accesorios, TIENDA","Powerbuildingoficial",19.99EUR,in stock,wc_post_id_5183,https://powerbuildingoficial.com/carrito/?add-to-cart=5183,"https://powerbuildingoficial.com/wp-content/uploads/2020/04/straps-1.jpg",1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,11.99EUR,new,published,,
powershirt-red-xl_2849,"POWERSHIRT RED","Talla: XL",https://powerbuildingoficial.com/wp-content/uploads/2020/02/Powershirt-red.jpg,https://powerbuildingoficial.com/producto/powershirt-red/?attribute_pa_talla=xl,"TIENDA, Camisetas","Powerbuildingoficial",17.9EUR,in stock,wc_post_id_2841,https://powerbuildingoficial.com/carrito/?add-to-cart=2841&variation_id=2849&attribute_pa_talla=xl,"https://powerbuildingoficial.com/wp-content/uploads/2020/02/Powershirt-Red-back.jpg,https://powerbuildingoficial.com/wp-content/uploads/2020/02/PowerShirt-Red-front.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,17.9EUR,new,published,,"talla:M/XL/S/L:XL"
